Stock Name,Scientific Name,Common Name,Stock Area,Assessment Level
Atlantic menhaden - Atlantic Coast,Brevoortia tyrannus,Atlantic menhaden,Atlantic Coast,
Albacore - North Atlantic,Thunnus alalunga,Albacore,North Atlantic,3
Atlantic Small Coastal Shark Complex,,,,3
Atlantic sharpnose shark - Atlantic,Rhizoprionodon terraenovae,Atlantic sharpnose shark,Atlantic,4
Atlantic sharpnose shark - Gulf of Mexico,Rhizoprionodon terraenovae,Atlantic sharpnose shark,Gulf of Mexico,4
Bigeye tuna - Atlantic,Thunnus obesus,Bigeye tuna,Atlantic,
Blacknose shark - Atlantic,Carcharhinus acronotus,Blacknose shark,Atlantic,4
Blacknose shark - Gulf of Mexico,Carcharhinus acronotus,Blacknose shark,Gulf of Mexico,4
Blacktip shark - Atlantic,Carcharhinus limbatus,Blacktip shark,Atlantic,4
Blacktip shark - Gulf of Mexico,Carcharhinus limbatus,Blacktip shark,Gulf of Mexico,4
Blue marlin - Atlantic,Makaira nigricans,Blue marlin,Atlantic,4
Blue shark - North Atlantic,Prionace glauca,Blue shark,North Atlantic,4
Bluefin tuna - Western Atlantic,Thunnus thynnus,Bluefin tuna,Western Atlantic,
Dusky shark - Atlantic and Gulf of Mexico,Carcharhinus obscurus,Dusky shark,Atlantic and Gulf of Mexico,3
Finetooth shark - Atlantic and Gulf of Mexico,Carcharhinus isodon,Finetooth shark,Atlantic and Gulf of Mexico,3
Gulf Smoothhound Complex,,,,3
Porbeagle - Northwestern Atlantic,Lamna nasus,Porbeagle,Northwestern Atlantic,4
Sailfish - Western Atlantic,Istiophorus platypterus,Sailfish,Western Atlantic,4
Sandbar shark - Atlantic and Gulf of Mexico,Carcharhinus plumbeus,Sandbar shark,Atlantic and Gulf of Mexico,4
Scalloped hammerhead - Atlantic and Gulf of Mexico,Sphyrna lewini,Scalloped hammerhead,Atlantic and Gulf of Mexico,3
Shortfin mako - North Atlantic,Isurus oxyrinchus,Shortfin mako,North Atlantic,4
Skipjack tuna - Western Atlantic,Katsuwonus pelamis,Skipjack tuna,Western Atlantic,
Smooth dogfish - Atlantic,Mustelus canis,Smooth dogfish,Atlantic,4
Swordfish - North Atlantic,Xiphias gladius,Swordfish,North Atlantic,4
White marlin - Atlantic,Kajikia albida,White marlin,Atlantic,4
Yellowfin tuna - Atlantic,Thunnus albacares,Yellowfin tuna,Atlantic,4
Caribbean spiny lobster - Puerto Rico,Panulirus argus,Caribbean spiny lobster,Puerto Rico,
Caribbean Parrotfishes Complex,,,,0
Queen snapper - Caribbean,Etelis oculatus,Queen snapper,Caribbean,1
Red hind - Caribbean,Epinephelus guttatus,Red hind,Caribbean,2
Redtail parrotfish - Caribbean,Sparisoma chrysopterum,Redtail parrotfish,Caribbean,2
Silk snapper - Caribbean,Lutjanus vivanus,Silk snapper,Caribbean,2
Caribbean spiny lobster - St. Croix,Panulirus argus,Caribbean spiny lobster,St. Croix,
Caribbean spiny lobster - St. Thomas / St. John,Panulirus argus,Caribbean spiny lobster,St. Thomas / St. John,
Gag - Gulf of Mexico,Mycteroperca microlepis,Gag,Gulf of Mexico,5
Goliath grouper - Gulf of Mexico,Epinephelus itajara,Goliath grouper,Gulf of Mexico,1
Gray snapper - Gulf of Mexico,Lutjanus griseus,Gray snapper,Gulf of Mexico,4
Gray triggerfish - Gulf of Mexico,Balistes capriscus,Gray triggerfish,Gulf of Mexico,4
Greater amberjack - Gulf of Mexico,Seriola dumerili,Greater amberjack,Gulf of Mexico,4
Hogfish - Eastern Gulf of Mexico,Lachnolaimus maximus,Hogfish,Eastern Gulf of Mexico,4
Lane snapper - Gulf of Mexico,Lutjanus synagris,Lane snapper,Gulf of Mexico,
Red grouper - Gulf of Mexico,Epinephelus morio,Red grouper,Gulf of Mexico,5
Red snapper - Gulf of Mexico,Lutjanus campechanus,Red snapper,Gulf of Mexico,4
Scamp - Gulf of Mexico,Mycteroperca phenax,Scamp,Gulf of Mexico,
Tilefish - Gulf of Mexico,Lopholatilus chamaeleonticeps,Tilefish,Gulf of Mexico,4
Vermilion snapper - Gulf of Mexico,Rhomboplites aurorubens,Vermilion snapper,Gulf of Mexico,4
Yellowedge grouper - Gulf of Mexico,Epinephelus flavolimbatus,Yellowedge grouper,Gulf of Mexico,4
Brown shrimp - Gulf of Mexico,Farfantepenaeus aztecus,Brown shrimp,Gulf of Mexico,
Pink shrimp - Gulf of Mexico,Farfantepenaeus duorarum,Pink shrimp,Gulf of Mexico,4
Royal red shrimp - Gulf of Mexico,Pleoticus robustus,Royal red shrimp,Gulf of Mexico,
White shrimp - Gulf of Mexico,Litopenaeus setiferus,White shrimp,Gulf of Mexico,4
Pacific halibut - Pacific Coast / Alaska,Hippoglossus stenolepis,Pacific halibut,Pacific Coast / Alaska,4
Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,Atlantic surfclam,Mid-Atlantic Coast,4
Ocean quahog - Atlantic Coast,Arctica islandica,Ocean quahog,Atlantic Coast,4
Bluefish - Atlantic Coast,Pomatomus saltatrix,Bluefish,Atlantic Coast,
Atlantic mackerel - Gulf of Maine / Cape Hatteras,Scomber scombrus,Atlantic mackerel,Gulf of Maine / Cape Hatteras,4
Butterfish - Gulf of Maine / Cape Hatteras,Peprilus triacanthus,Butterfish,Gulf of Maine / Cape Hatteras,5
Longfin inshore squid - Georges Bank / Cape Hatteras,Loligo pealeii,Longfin inshore squid,Georges Bank / Cape Hatteras,1
Northern shortfin squid - Northwestern Atlantic Coast,Illex illecebrosus,Northern shortfin squid,Northwestern Atlantic Coast,2
Black sea bass - Mid-Atlantic Coast,Centropristis striata,Black sea bass,Mid-Atlantic Coast,
Scup - Atlantic Coast,Stenotomus chrysops,Scup,Atlantic Coast,
Summer flounder - Mid-Atlantic Coast,Paralichthys dentatus,Summer flounder,Mid-Atlantic Coast,
Blueline tilefish - Mid-Atlantic Coast,Caulolatilus microps,Blueline tilefish,Mid-Atlantic Coast,1
Tilefish - Mid-Atlantic Coast,Lopholatilus chamaeleonticeps,Tilefish,Mid-Atlantic Coast,4
Atlantic herring - Northwestern Atlantic Coast,Clupea harengus,Atlantic herring,Northwestern Atlantic Coast,
Atlantic salmon - Gulf of Maine,Salmo salar,Atlantic salmon,Gulf of Maine,
Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,Sea scallop,Northwestern Atlantic Coast,4
Red deepsea crab - Northwestern Atlantic,Chaceon quinquedens,Red deepsea crab,Northwestern Atlantic,1
Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,Acadian redfish,Gulf of Maine / Georges Bank,4
American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,American plaice,Gulf of Maine / Georges Bank,
Atlantic cod - Eastern Georges Bank,Gadus morhua,Atlantic cod,Eastern Georges Bank,
Atlantic cod - Georges Bank,Gadus morhua,Atlantic cod,Georges Bank,
Atlantic cod - Gulf of Maine,Gadus morhua,Atlantic cod,Gulf of Maine,
Atlantic halibut - Northwestern Atlantic Coast,Hippoglossus hippoglossus,Atlantic halibut,Northwestern Atlantic Coast,
Atlantic wolffish - Gulf of Maine / Georges Bank,Anarhichas lupus,Atlantic wolffish,Gulf of Maine / Georges Bank,4
Haddock - Eastern Georges Bank,Melanogrammus aeglefinus,Haddock,Eastern Georges Bank,
Haddock - Georges Bank,Melanogrammus aeglefinus,Haddock,Georges Bank,
Haddock - Gulf of Maine,Melanogrammus aeglefinus,Haddock,Gulf of Maine,
Ocean pout - Northwestern Atlantic Coast,Zoarces americanus,Ocean pout,Northwestern Atlantic Coast,1
Offshore hake - Northwestern Atlantic Coast,Merluccius albidus,Offshore hake,Northwestern Atlantic Coast,1
Pollock - Gulf of Maine / Georges Bank,Pollachius virens,Pollock,Gulf of Maine / Georges Bank,
Red hake - Gulf of Maine / Northern Georges Bank,Urophycis chuss,Red hake,Gulf of Maine / Northern Georges Bank,
Red hake - Southern Georges Bank / Mid-Atlantic,Urophycis chuss,Red hake,Southern Georges Bank / Mid-Atlantic,1
Silver hake - Gulf of Maine / Northern Georges Bank,Merluccius bilinearis,Silver hake,Gulf of Maine / Northern Georges Bank,1
Silver hake - Southern Georges Bank / Mid-Atlantic,Merluccius bilinearis,Silver hake,Southern Georges Bank / Mid-Atlantic,1
White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,White hake,Gulf of Maine / Georges Bank,
Windowpane - Gulf of Maine / Georges Bank,Scophthalmus aquosus,Windowpane,Gulf of Maine / Georges Bank,
Windowpane - Southern New England / Mid-Atlantic,Scophthalmus aquosus,Windowpane,Southern New England / Mid-Atlantic,
Winter flounder - Georges Bank,Pseudopleuronectes americanus,Winter flounder,Georges Bank,
Winter flounder - Gulf of Maine,Pseudopleuronectes americanus,Winter flounder,Gulf of Maine,1
Winter flounder - Southern New England / Mid-Atlantic,Pseudopleuronectes americanus,Winter flounder,Southern New England / Mid-Atlantic,4
Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,Witch flounder,Northwestern Atlantic Coast,
Yellowtail flounder - Cape Cod / Gulf of Maine,Limanda ferruginea,Yellowtail flounder,Cape Cod / Gulf of Maine,
Yellowtail flounder - Georges Bank,Limanda ferruginea,Yellowtail flounder,Georges Bank,
Yellowtail flounder - Southern New England / Mid-Atlantic,Limanda ferruginea,Yellowtail flounder,Southern New England / Mid-Atlantic,
Barndoor skate - Georges Bank / Southern New England,Dipturus laevis,Barndoor skate,Georges Bank / Southern New England,1
Clearnose skate - Southern New England / Mid-Atlantic,Raja eglanteria,Clearnose skate,Southern New England / Mid-Atlantic,
Little skate - Georges Bank / Southern New England,Leucoraja erinacea,Little skate,Georges Bank / Southern New England,
Rosette skate - Southern New England / Mid-Atlantic,Leucoraja garmani,Rosette skate,Southern New England / Mid-Atlantic,
Smooth skate - Gulf of Maine,Malacoraja senta,Smooth skate,Gulf of Maine,
Thorny skate - Gulf of Maine,Amblyraja radiata,Thorny skate,Gulf of Maine,
Winter skate - Georges Bank / Southern New England,Leucoraja ocellata,Winter skate,Georges Bank / Southern New England,
Goosefish - Gulf of Maine / Northern Georges Bank,Lophius americanus,Goosefish,Gulf of Maine / Northern Georges Bank,
