"scientific_name","common_name"
"Bathyraja _ parmifera",""
"Brevoortia _ tyrannus","Bugfish, Bunker, Fatback, Menhaden, Mossbunker"
"Calotomus _ carolinus","FUGA, ponuhunuhu"
"Carangoides _ orthogrammus","Island trevally, Thicklip trevally, Ulua, Yellow-spotted jack"
"Caranx _ ignobilis","GIANT JACK, Lowly trevally, SAPOANAE, WHITE ULUA, kea, ulua aukea"
"Caranx _ melampygus","'omilu, Black ulua"
"Chlorurus _ microrhinos","Laggua"
"Chlorurus _ perspicillatus","uhu uliuli"
"Chlorurus _ sordidus","uhu"
"Coryphaenoides _ acrolepis","Pacific rattail, Roughscale rattail"
"Engraulis _ mordax","Californian anchoveta, North Pacific anchovy"
"Epinephelus _ drummondhayi",""
"Epinephelus _ guttatus",""
"Epinephelus _ striatus",""
"Gadus _ macrocephalus",""
"Hippoglossoides _ elassodon",""
"Hippoglossus _ stenolepis",""
"Hipposcarus _ longiceps","LAEA-ULAPOKEA, ULAPOKEA"
"Lepidopsetta _ bilineata","Southern rock sole"
"Lepidopsetta _ polyxystra",""
"Lethrinus _ olivaceus","Longface emperor"
"Lethrinus _ xanthochilus",""
"Limanda _ aspera",""
"Lutjanus _ fulvus","Flame-colored snapper, Yellow margined seaperch, to'au"
"Monotaxis _ grandoculis","Bigeye barenose, Bigeye emperor, Humpnose big-eye bream, Roundtoothed large-eye bream, mu"
"Mulloidichthys _ flavolineatus","Afolu, Afulu, I'asina, Samoan goatfish, Vete, Weke'a, weke a'a"
"Mulloidichthys _ vanicolensis","Afolu, Afulu, Goldenstripe goatfish, I'asina, Vanikolo goatfish, Vete, Weke 'ula, yellowtail goatfish"
"Mycteroperca _ phenax",""
"Naso _ brevirostris","Lined unicornfish, Longnose unicornfish, Paletail unicornfish, Spotted unicornfish, UME-ULUTAO, kala lolo"
"Naso _ hexacanthus","BLACK TONGUE UNICORNFISH, PONE, kala lolo"
"Naso _ unicornis","Bignose unicornfish, Blue tang, Brown unicornfish, Large unicornfish, UME-ISU, Unicorn tang, kala"
"Parupeneus _ insularis","doublebar goatfish, island goatfish, munu"
"Parupeneus _ porphyreus","kumu, whitesaddle goatfish"
"Pleurogrammus _ monopterygius",""
"Pleuronectes _ quadrituberculatus",""
"Raja _ binoculata",""
"Raja _ eglanteria",""
"Raja _ rhina",""
"Reinhardtius _ hippoglossoides","Greenland turbot, Newfoundland turbot, Turbot"
"Scarus _ altipinnis","Laggua"
"Scarus _ dubius","lauia, whitelined parrotfish"
"Scarus _ psittacus","uhu"
"Scarus _ rubroviolaceus","bicolor parrotfish, loro bicolor, uhu 'ele'ele"
"Sebastes _ aleutianus",""
"Sebastes _ borealis",""
"Sebastes _ maliger",""
"Sebastes _ miniatus",""
"Sebastes _ mystinus",""
"Sebastes _ polyspinis",""
"Sebastes _ variabilis","Light dusky rockfish"
"Sparisoma _ chrysopterum",""
